,0
786,right
787,stop
788,yes
789,on
790,up
791,down
792,on
793,on
794,go
795,no
796,go
797,on
798,go
799,go
800,go
801,down
802,down
803,left
804,on
805,right
806,go
807,off
808,off
809,up
810,no
811,left
812,stop
813,right
814,stop
815,left
816,up
817,right
818,left
819,left
820,go
821,stop
822,stop
823,go
824,left
825,left
826,on
827,down
828,up
829,up
830,down
831,right
832,on
833,left
834,up
835,stop
836,right
837,stop
838,down
839,yes
840,stop
841,stop
842,go
843,up
844,right
845,stop
846,off
847,right
848,yes
849,on
850,go
851,up
852,right
853,stop
854,stop
855,go
856,stop
857,on
858,right
859,right
860,yes
861,on
862,down
863,yes
864,go
865,stop
866,left
867,right
868,up
869,stop
870,on
871,left
872,on
873,yes
874,yes
875,right
876,right
877,left
878,stop
879,right
880,right
881,up
882,yes
883,stop
884,go
885,left
886,stop
887,go
888,up
889,yes
890,stop
891,on
892,right
893,stop
894,on
895,stop
896,no
897,down
898,go
899,on
900,left
901,on
902,left
903,go
904,yes
905,go
906,up
907,stop
908,off
909,go
910,on
911,right
912,down
913,go
914,go
915,right
916,yes
917,up
918,off
919,yes
920,right
921,down
922,on
923,right
924,up
925,right
926,go
927,go
928,up
929,go
930,left
931,up
932,yes
933,right
934,go
935,up
936,no
937,stop
938,yes
939,up
940,off
941,go
942,on
943,right
944,up
945,stop
946,yes
947,left
948,yes
949,up
950,yes
951,yes
952,off
953,left
954,on
955,yes
956,no
957,off
958,on
959,down
960,stop
961,left
962,down
963,go
964,right
965,no
966,off
967,right
968,stop
969,go
970,left
971,go
972,off
973,go
974,yes
975,left
976,yes
977,left
978,up
979,stop
980,no
981,yes
982,up
983,right
984,stop
985,right
986,on
987,stop
988,off
989,stop
990,no
991,right
992,down
993,go
994,off
995,no
996,up
997,no
998,yes
999,stop
1000,stop
1001,up
1002,off
1003,right
1004,stop
1005,yes
1006,on
1007,stop
1008,go
1009,go
1010,down
1011,yes
1012,no
1013,yes
1014,up
1015,left
1016,up
1017,down
1018,no
1019,on
1020,off
1021,on
1022,stop
1023,on
1024,left
1025,stop
1026,right
1027,up
1028,down
1029,stop
1030,right
1031,down
1032,stop
1033,go
1034,up
1035,up
1036,right
1037,go
1038,stop
1039,off
1040,on
1041,off
1042,right
1043,stop
1044,down
1045,up
1046,stop
1047,on
1048,off
1049,stop
1050,stop
1051,stop
1052,up
1053,yes
1054,go
1055,up
1056,right
1057,on
1058,right
1059,up
1060,stop
1061,stop
1062,no
1063,on
1064,down
1065,right
1066,off
1067,stop
1068,no
1069,off
1070,go
1071,yes
1072,yes
1073,right
1074,go
1075,stop
1076,up
1077,stop
1078,left
1079,off
1080,stop
1081,on
1082,no
1083,down
1084,up
1085,on
1086,no
1087,on
1088,go
1089,up
1090,left
1091,on
1092,left
1093,stop
1094,right
1095,right
1096,down
1097,stop
1098,down
1099,right
1100,stop
1101,no
1102,down
1103,up
1104,off
1105,go
1106,right
1107,yes
1108,down
1109,stop
1110,right
1111,on
1112,no
1113,right
1114,left
1115,off
1116,on
1117,stop
1118,on
1119,up
1120,stop
1121,left
1122,yes
1123,go
1124,go
1125,up
1126,stop
1127,left
1128,down
1129,up
1130,go
1131,go
1132,on
1133,up
1134,left
1135,right
1136,right
1137,go
1138,no
1139,off
1140,go
1141,no
1142,off
1143,go
1144,go
1145,up
1146,stop
1147,on
1148,off
1149,up
1150,no
1151,go
1152,stop
1153,right
1154,no
1155,stop
1156,right
1157,no
1158,yes
1159,right
1160,on
1161,stop
1162,stop
1163,up
1164,left
1165,up
1166,up
1167,right
1168,right
1169,off
1170,yes
1171,right
1172,go
1173,down
1174,right
1175,go
1176,stop
1177,up
1178,down
1179,right
1180,go
1181,right
1182,go
1183,left
1184,go
1185,stop
1186,stop
1187,stop
1188,right
1189,off
1190,yes
1191,on
1192,down
1193,off
1194,down
1195,off
1196,on
1197,yes
1198,go
1199,on
1200,stop
1201,left
1202,down
1203,on
1204,on
1205,no
1206,left
1207,stop
1208,stop
1209,left
1210,down
1211,down
1212,left
1213,off
1214,on
1215,go
1216,go
1217,on
1218,up
1219,right
1220,left
1221,go
1222,off
1223,down
1224,yes
1225,go
1226,off
1227,stop
1228,right
1229,yes
1230,stop
1231,down
1232,left
1233,go
1234,off
1235,up
1236,stop
1237,stop
1238,stop
1239,right
1240,yes
1241,off
1242,on
1243,right
1244,left
1245,off
1246,left
1247,down
1248,yes
1249,on
1250,right
1251,up
1252,on
1253,stop
1254,yes
1255,yes
1256,left
1257,stop
1258,no
1259,down
1260,on
1261,go
1262,left
1263,yes
1264,up
1265,stop
1266,right
1267,yes
1268,up
1269,off
1270,stop
1271,go
1272,yes
1273,up
1274,stop
1275,left
1276,yes
1277,on
1278,no
1279,up
1280,on
1281,right
1282,yes
1283,on
1284,stop
1285,off
1286,off
1287,on
1288,stop
1289,go
1290,up
1291,off
1292,right
1293,no
1294,go
1295,yes
1296,on
1297,off
1298,on
1299,yes
1300,off
1301,go
1302,go
1303,up
1304,left
1305,stop
1306,yes
1307,right
1308,right
1309,right
1310,go
1311,right
1312,down
1313,right
1314,off
1315,right
1316,yes
1317,down
1318,left
1319,no
1320,on
1321,no
1322,up
1323,right
1324,no
1325,go
1326,no
1327,yes
1328,left
1329,down
1330,go
1331,yes
1332,off
1333,right
1334,go
1335,down
1336,right
1337,left
1338,stop
1339,down
1340,down
1341,go
1342,up
1343,left
1344,yes
1345,left
1346,go
1347,on
1348,off
1349,off
1350,down
1351,on
1352,up
1353,on
1354,no
1355,go
1356,right
1357,yes
1358,go
1359,left
1360,right
1361,off
1362,yes
1363,yes
1364,left
1365,up
1366,stop
1367,up
1368,down
1369,go
1370,on
1371,right
1372,right
1373,go
1374,on
1375,up
1376,yes
1377,right
1378,stop
1379,off
1380,down
1381,no
1382,off
1383,go
1384,left
1385,go
1386,right
1387,left
1388,stop
1389,off
1390,stop
1391,up
1392,off
1393,go
1394,on
1395,on
1396,on
1397,no
1398,up
1399,up
1400,left
1401,right
1402,right
1403,up
1404,no
1405,stop
1406,yes
1407,down
1408,up
1409,go
1410,on
1411,off
1412,off
1413,no
1414,on
1415,right
1416,down
1417,up
1418,go
1419,down
1420,on
1421,on
1422,no
1423,yes
1424,right
1425,left
1426,off
1427,yes
1428,left
1429,on
1430,no
1431,yes
1432,right
1433,go
1434,right
1435,stop
1436,left
1437,yes
1438,go
1439,yes
1440,no
1441,go
1442,yes
1443,on
1444,on
1445,down
1446,no
1447,on
1448,right
1449,go
1450,yes
1451,on
1452,left
1453,down
1454,up
1455,off
1456,on
1457,yes
1458,no
1459,go
1460,go
1461,down
1462,on
1463,right
1464,yes
1465,left
1466,left
1467,up
1468,no
1469,no
1470,off
1471,go
1472,go
1473,no
1474,yes
1475,no
1476,on
1477,go
1478,on
1479,go
1480,off
1481,no
1482,yes
1483,right
1484,go
1485,up
1486,go
1487,yes
1488,right
1489,off
1490,right
1491,go
1492,yes
1493,go
1494,stop
1495,left
1496,up
1497,go
1498,stop
1499,stop
1500,right
1501,yes
1502,go
1503,right
1504,left
1505,yes
1506,stop
1507,up
1508,on
1509,up
1510,up
1511,right
1512,left
1513,go
1514,stop
1515,right
1516,go
1517,go
1518,go
1519,up
1520,off
1521,stop
1522,yes
1523,left
1524,no
1525,yes
1526,stop
1527,on
1528,right
1529,down
1530,down
1531,up
1532,left
1533,up
1534,left
1535,go
1536,up
1537,stop
1538,left
1539,stop
1540,right
1541,right
1542,on
1543,down
1544,go
1545,right
1546,up
1547,right
1548,up
1549,stop
1550,yes
1551,right
1552,on
1553,right
1554,down
1555,off
1556,off
1557,right
1558,no
1559,down
1560,go
1561,yes
1562,stop
1563,stop
1564,yes
1565,on
1566,yes
1567,off
1568,left
1569,left
1570,no
1571,left
1572,go
1573,go
1574,stop
1575,go
1576,go
1577,on
1578,no
1579,yes
1580,on
1581,stop
1582,right
1583,go
1584,yes
1585,yes
1586,left
1587,yes
1588,right
1589,go
1590,up
1591,yes
1592,right
1593,go
1594,off
1595,on
1596,off
1597,yes
1598,stop
1599,stop
1600,go
1601,go
1602,no
1603,up
1604,up
1605,on
1606,right
1607,on
1608,right
1609,right
1610,stop
1611,on
1612,right
1613,left
1614,go
1615,go
1616,yes
1617,up
1618,up
1619,no
1620,go
1621,yes
1622,go
1623,down
1624,stop
1625,go
1626,go
1627,off
1628,down
1629,stop
1630,right
1631,yes
1632,left
1633,yes
1634,stop
1635,stop
1636,on
1637,left
1638,stop
1639,yes
1640,right
1641,stop
1642,up
1643,on
1644,on
1645,down
1646,on
1647,right
1648,go
1649,stop
1650,go
1651,right
1652,go
1653,up
1654,up
1655,right
1656,on
1657,yes
1658,up
1659,go
1660,right
1661,up
1662,stop
1663,stop
1664,right
1665,yes
1666,up
1667,up
1668,down
1669,go
1670,yes
1671,go
1672,right
1673,off
1674,on
1675,go
1676,yes
1677,on
1678,right
1679,down
1680,stop
1681,up
1682,on
1683,left
1684,right
1685,yes
1686,up
1687,right
1688,stop
1689,on
1690,go
1691,down
1692,on
1693,up
1694,right
1695,down
1696,up
1697,on
1698,up
1699,stop
1700,on
1701,on
1702,off
1703,off
1704,left
1705,left
1706,right
1707,stop
1708,right
1709,stop
1710,go
1711,go
1712,right
1713,yes
1714,yes
1715,no
1716,up
1717,down
1718,go
1719,up
1720,no
1721,left
1722,down
1723,down
1724,left
1725,go
1726,right
1727,yes
1728,on
1729,right
1730,down
1731,yes
1732,no
1733,stop
1734,go
1735,right
1736,up
1737,left
1738,yes
1739,go
1740,go
1741,yes
1742,go
1743,right
1744,right
1745,on
1746,on
1747,left
1748,no
1749,yes
1750,right
1751,right
1752,on
1753,up
1754,down
1755,right
1756,left
1757,down
1758,go
1759,right
1760,go
1761,stop
1762,go
1763,right
1764,no
1765,on
1766,left
1767,stop
1768,up
1769,yes
1770,right
1771,on
1772,up
1773,off
1774,no
1775,no
1776,down
1777,stop
1778,stop
1779,stop
1780,no
1781,on
1782,go
1783,go
1784,stop
1785,left
1786,stop
1787,right
1788,go
1789,right
1790,on
1791,stop
1792,on
1793,on
1794,no
1795,left
1796,on
1797,right
1798,left
1799,down
1800,on
1801,no
1802,right
1803,go
1804,down
1805,go
1806,right
1807,stop
1808,no
1809,up
1810,no
1811,on
1812,down
1813,go
1814,left
1815,stop
1816,stop
1817,left
1818,up
1819,off
1820,up
1821,on
1822,yes
1823,yes
1824,right
1825,no
1826,up
1827,off
1828,on
1829,yes
1830,right
1831,on
1832,no
1833,down
1834,stop
1835,go
1836,stop
1837,stop
1838,off
1839,left
1840,right
1841,yes
1842,right
1843,up
1844,go
1845,off
1846,up
1847,yes
1848,right
1849,up
1850,yes
1851,right
1852,right
1853,right
1854,go
1855,up
1856,right
1857,no
1858,on
1859,up
1860,right
1861,go
1862,go
1863,stop
1864,go
1865,off
1866,right
1867,off
1868,stop
1869,no
1870,on
1871,go
1872,stop
1873,on
1874,up
1875,go
1876,right
1877,go
1878,up
1879,no
1880,up
1881,stop
1882,on
1883,down
1884,down
1885,left
1886,right
1887,yes
1888,yes
1889,on
1890,go
1891,on
1892,go
1893,no
1894,off
1895,down
1896,no
1897,down
1898,stop
1899,go
1900,stop
1901,left
1902,stop
1903,left
1904,on
1905,on
1906,right
1907,no
1908,yes
1909,right
1910,left
1911,no
1912,off
1913,no
1914,left
1915,left
1916,right
1917,left
1918,left
1919,off
1920,yes
1921,stop
1922,right
1923,up
1924,yes
1925,right
1926,left
1927,down
1928,yes
1929,off
1930,no
1931,down
1932,up
1933,stop
1934,right
1935,right
1936,stop
1937,go
1938,yes
1939,up
1940,up
1941,right
1942,left
1943,right
1944,go
1945,right
1946,right
1947,down
1948,left
1949,on
1950,stop
1951,yes
1952,up
1953,no
1954,go
1955,stop
1956,left
1957,on
1958,right
1959,stop
1960,off
1961,up
1962,down
1963,go
1964,up
1965,no
1966,yes
1967,no
1968,right
1969,right
1970,off
1971,go
1972,no
1973,on
1974,left
1975,yes
1976,on
1977,stop
1978,go
1979,on
1980,stop
1981,down
1982,right
1983,on
1984,down
1985,up
1986,yes
1987,on
1988,down
1989,stop
1990,right
1991,on
1992,stop
1993,stop
1994,no
1995,on
1996,left
1997,right
1998,go
1999,go
2000,stop
2001,up
2002,go
2003,on
2004,down
2005,right
2006,go
2007,down
2008,no
2009,right
2010,left
2011,up
2012,right
2013,down
2014,go
2015,right
2016,on
2017,up
2018,no
2019,on
2020,left
2021,off
2022,yes
2023,on
2024,yes
2025,stop
2026,left
2027,up
2028,right
2029,down
2030,stop
2031,right
2032,up
2033,left
2034,yes
2035,on
2036,no
2037,up
2038,yes
2039,stop
2040,right
2041,right
2042,right
2043,up
2044,go
2045,up
2046,go
2047,stop
2048,right
2049,off
2050,stop
2051,right
2052,right
2053,go
2054,yes
2055,yes
2056,on
2057,left
2058,on
2059,go
2060,down
2061,yes
2062,left
2063,on
2064,go
2065,on
2066,right
2067,yes
2068,left
2069,off
2070,left
2071,left
2072,yes
2073,go
2074,up
2075,no
2076,left
2077,stop
2078,down
2079,yes
2080,on
2081,left
2082,stop
2083,yes
2084,go
2085,stop
2086,on
2087,right
2088,down
2089,go
2090,up
2091,off
2092,no
2093,on
2094,down
2095,on
2096,right
2097,right
2098,yes
2099,stop
2100,up
2101,right
2102,go
2103,no
2104,on
2105,up
2106,right
2107,go
2108,up
2109,stop
2110,off
2111,no
2112,no
2113,no
2114,no
2115,up
2116,up
2117,yes
2118,go
2119,no
2120,go
2121,yes
2122,on
2123,up
2124,on
2125,off
2126,on
2127,yes
2128,up
2129,go
2130,stop
2131,right
2132,up
2133,no
2134,on
2135,right
2136,stop
2137,off
2138,stop
2139,go
2140,no
2141,on
2142,go
2143,on
2144,no
2145,left
2146,yes
2147,on
2148,right
2149,up
2150,up
2151,go
2152,left
2153,go
2154,yes
2155,no
2156,right
2157,up
2158,yes
2159,up
2160,go
2161,stop
2162,right
2163,right
2164,yes
2165,stop
2166,down
2167,go
2168,right
2169,right
2170,no
2171,yes
2172,stop
2173,off
2174,yes
2175,right
2176,right
2177,yes
2178,yes
2179,right
2180,up
2181,left
2182,on
2183,down
2184,on
2185,on
2186,no
2187,yes
2188,left
2189,right
2190,go
2191,right
2192,off
2193,stop
2194,yes
2195,off
2196,yes
2197,on
2198,on
2199,up
2200,right
2201,go
2202,on
2203,stop
2204,right
2205,on
2206,no
2207,down
2208,right
2209,go
2210,off
2211,stop
2212,on
2213,no
2214,stop
2215,down
2216,stop
2217,stop
2218,on
2219,down
2220,right
2221,go
2222,go
2223,right
2224,go
2225,yes
2226,off
2227,on
2228,right
2229,down
2230,up
2231,up
2232,stop
2233,off
2234,right
2235,up
2236,left
2237,up
2238,right
2239,down
2240,stop
2241,left
2242,left
2243,up
2244,go
2245,left
2246,go
2247,on
2248,up
2249,go
2250,off
2251,yes
2252,no
2253,down
2254,left
2255,no
2256,down
2257,down
2258,left
2259,right
2260,off
2261,yes
2262,off
2263,right
2264,up
2265,go
2266,up
2267,left
2268,yes
2269,on
2270,go
2271,yes
2272,stop
2273,right
2274,go
2275,left
2276,off
2277,yes
2278,left
2279,right
2280,up
2281,go
2282,right
2283,right
2284,right
2285,go
2286,right
2287,down
2288,right
2289,stop
2290,left
2291,up
2292,go
2293,yes
2294,go
2295,yes
2296,on
2297,left
2298,right
2299,on
2300,right
2301,up
2302,off
2303,yes
2304,go
2305,off
2306,go
2307,on
2308,on
2309,go
2310,stop
2311,no
2312,right
2313,left
2314,up
2315,go
2316,left
2317,off
2318,on
2319,on
2320,off
2321,down
2322,left
2323,yes
2324,left
2325,down
2326,on
2327,up
2328,stop
2329,yes
2330,left
2331,stop
2332,up
2333,down
2334,no
2335,left
2336,left
2337,go
2338,right
2339,on
2340,up
2341,up
2342,down
2343,on
2344,no
2345,right
2346,right
2347,yes
2348,no
2349,go
2350,no
2351,right
2352,right
2353,stop
2354,left
2355,stop
2356,left
2357,go
2358,go
2359,no
2360,stop
2361,right
2362,off
2363,no
2364,up
2365,go
2366,off
2367,up
2368,on
2369,down
2370,go
2371,up
2372,yes
2373,stop
2374,yes
2375,stop
2376,up
2377,stop
2378,stop
2379,go
2380,stop
2381,on
2382,down
2383,go
2384,down
2385,no
2386,right
2387,stop
2388,up
2389,right
2390,stop
2391,yes
2392,up
2393,right
2394,right
2395,stop
2396,right
2397,go
2398,right
2399,right
2400,go
2401,left
2402,yes
2403,stop
2404,off
2405,right
2406,left
2407,on
2408,go
2409,stop
2410,up
2411,go
2412,right
2413,down
2414,left
2415,stop
2416,stop
2417,left
2418,right
2419,on
2420,right
2421,go
2422,off
2423,left
2424,stop
2425,up
2426,right
2427,right
2428,stop
2429,right
2430,go
2431,yes
2432,right
2433,off
2434,up
2435,up
2436,up
2437,down
2438,on
2439,left
2440,go
2441,right
2442,right
2443,no
2444,yes
2445,up
2446,on
2447,go
2448,no
2449,up
2450,on
2451,go
2452,go
2453,right
2454,no
2455,up
2456,up
2457,down
2458,left
2459,down
2460,no
2461,go
2462,stop
2463,on
2464,stop
2465,left
2466,up
2467,on
2468,up
2469,left
2470,stop
2471,stop
2472,go
2473,stop
2474,down
2475,on
2476,no
2477,up
2478,no
2479,go
2480,off
2481,up
2482,up
2483,on
2484,up
2485,down
2486,right
2487,left
2488,left
2489,on
2490,right
2491,right
2492,go
2493,stop
2494,no
2495,left
2496,left
2497,no
2498,on
2499,down
2500,right
2501,up
2502,up
2503,off
2504,left
2505,left
2506,right
2507,right
2508,stop
2509,stop
2510,up
2511,right
2512,yes
2513,right
2514,left
2515,off
2516,no
2517,no
2518,stop
2519,down
2520,right
2521,go
2522,stop
2523,down
2524,stop
2525,right
2526,yes
2527,yes
2528,down
2529,down
2530,on
2531,stop
2532,yes
2533,right
2534,off
2535,no
2536,right
2537,yes
2538,right
2539,stop
2540,yes
2541,go
2542,off
2543,on
2544,up
2545,on
2546,go
2547,off
2548,on
2549,down
2550,up
2551,right
2552,down
2553,on
2554,yes
2555,on
2556,right
2557,go
2558,right
2559,no
2560,up
2561,on
2562,up
2563,yes
2564,up
2565,left
2566,yes
2567,yes
2568,go
2569,down
2570,on
2571,up
2572,on
2573,down
2574,yes
2575,right
2576,left
2577,up
2578,up
2579,left
2580,right
2581,right
2582,off
2583,left
2584,stop
2585,down
2586,up
2587,right
2588,stop
2589,on
2590,left
2591,go
2592,down
2593,left
2594,down
2595,stop
2596,on
2597,go
2598,stop
2599,go
2600,right
2601,stop
2602,stop
2603,right
2604,stop
2605,off
2606,off
2607,right
2608,right
2609,left
2610,down
2611,on
2612,down
2613,yes
2614,up
2615,up
2616,left
2617,stop
2618,stop
2619,on
2620,left
2621,go
2622,down
2623,go
2624,left
2625,yes
2626,up
2627,yes
2628,no
2629,left
2630,no
2631,no
2632,stop
2633,off
2634,yes
2635,stop
2636,up
2637,no
2638,yes
2639,up
2640,right
2641,right
2642,up
2643,yes
2644,up
2645,up
2646,left
2647,down
2648,no
2649,yes
2650,down
2651,right
2652,up
2653,stop
2654,yes
2655,on
2656,up
2657,yes
2658,on
2659,stop
2660,go
2661,stop
2662,down
2663,down
2664,go
2665,left
2666,up
2667,right
2668,right
2669,stop
2670,up
2671,no
2672,left
2673,yes
2674,stop
2675,no
2676,stop
2677,on
2678,up
2679,right
2680,no
2681,left
2682,up
2683,no
2684,up
2685,stop
2686,on
2687,stop
2688,yes
2689,left
2690,up
2691,yes
2692,up
2693,on
2694,go
2695,right
2696,down
2697,on
2698,up
2699,on
2700,yes
2701,up
2702,stop
2703,on
2704,left
2705,no
2706,up
2707,on
2708,go
2709,right
2710,yes
2711,stop
2712,on
2713,yes
2714,left
2715,go
2716,on
2717,go
2718,on
2719,yes
2720,right
2721,right
2722,down
2723,right
2724,down
2725,off
2726,go
2727,on
2728,yes
2729,left
2730,down
2731,yes
2732,down
2733,go
2734,off
2735,on
2736,yes
2737,stop
2738,go
2739,up
2740,right
2741,right
2742,right
2743,yes
2744,go
2745,yes
2746,left
2747,left
2748,yes
2749,yes
2750,on
2751,yes
2752,down
2753,up
2754,up
2755,down
2756,on
2757,stop
2758,down
2759,on
2760,yes
2761,up
2762,up
2763,go
2764,stop
2765,no
2766,up
2767,on
2768,no
2769,go
2770,yes
2771,up
2772,yes
2773,right
2774,on
2775,down
2776,go
2777,down
2778,right
2779,yes
2780,go
2781,yes
2782,on
2783,right
2784,right
2785,on
2786,right
2787,right
2788,on
2789,no
2790,right
2791,yes
2792,stop
2793,right
2794,on
2795,off
2796,no
2797,no
2798,left
2799,up
2800,stop
2801,stop
2802,go
2803,left
2804,off
2805,go
2806,stop
2807,right
2808,right
2809,yes
2810,right
2811,up
2812,up
2813,right
2814,off
2815,on
2816,go
2817,off
2818,on
2819,up
2820,right
2821,go
2822,on
2823,yes
2824,yes
2825,up
2826,left
2827,stop
2828,stop
2829,right
2830,go
2831,left
2832,go
2833,up
2834,stop
2835,right
2836,go
2837,left
2838,down
2839,stop
2840,up
2841,left
2842,off
2843,right
2844,off
2845,right
2846,up
2847,up
2848,on
2849,no
2850,stop
2851,stop
2852,right
2853,go
2854,go
2855,down
2856,down
2857,down
2858,no
2859,stop
2860,yes
2861,left
2862,yes
2863,stop
2864,stop
2865,stop
2866,no
2867,stop
2868,stop
